EXTERNAL PREDICTORS - DAILY DATA FILE
=====================================

        This file is used to define 'external' predictors, for which
daily data are available, to a Generalized Linear Model for some
climate/weather variable. By 'external', we mean non-deterministic
time-varying quantities (i.e. not trends) other than the variable under
consideration. Excluding this header, there are 2 sections to the file.
The first is used to define and label the predictors, and the second to
provide the data.

    Definition of predictors:
    -------------------------
        The first line of the file, after this header, should
    contain a single integer NPRED, which is the number of
    predictors being defined in this file. The subsequent NPRED lines
    contain text (up to 70 characters) describing each predictor:
    this will be used in labelling model output.

    Format of data section
    ----------------------
        The "data input" section of the file begins on the 2nd line
    after the predictor definition section. Each line contains data for
    1 month, and looks something like:

     YYYYMMDD  PRED(1)  ...  PRED(2)  ...  PRED(NPRED)

    where YYYY is the year
          MM is the month
          DD is the day
          PRED(.) are the values of the various predictors in this
          day (in the order specified in the 'predictor definition'
          section), each of which occupies the first 10 free positions
          of the line starting with position 10

    These rows are read using the FORTRAN format I4,2I2,1X,N(F10.0).

    Missing data should be entered as -9999.9.

This header is 41 lines long.
-------------------------------------------------------------------------------
20
MSLP (mbar-1000)
Surface temperature (deg C)
500-hPa geopotential (units unclear)
700-hPa geopotential (units unclear)
850-hPa geopotential (units unclear)
500-hPa temperature (deg C)
700-hPa temperature (deg C)
850-hPa temperature (deg C)
500-hPa u wind (m/s)
700-hPa u wind (m/s)
850-hPa u wind (m/s)
500-hPa v wind (m/s)
700-hPa v wind (m/s)
850-hPa v wind (m/s)
500-hPa specific humidity (g/kg)
700-hPa specific humidity (g/kg)
850-hPa specific humidity (g/kg)
500-hPa wind speed (m/s)
700-hPa wind speed (m/s)
850-hPa wind speed (m/s)
*************************END OF PREDICTOR DEFINITION*************************
19790101     5.2695  -12.2015    0.9233   -3.1627   -2.4878   -9.8937  -13.5910  -15.0071   17.4258   10.7779    4.4412    0.5829   -5.1157   -7.2363    0.2782    1.2155    1.3744   17.4355   11.9304    8.4905
19790102    21.3975  -12.1216    0.7348   -2.3466   -1.3197  -19.7807  -22.6932  -17.6516    5.5708    3.7921    7.3106  -10.9150  -10.9559   -7.4188    0.1166    0.3750    0.7846   12.2545   11.5936   10.4155
19790103    20.2648   -9.9283    1.3584   -2.1227   -1.2537  -17.5118  -18.9843  -14.8915    6.4203    8.2026    8.8250  -22.4583  -15.5072   -9.4984    0.1171    0.5300    1.1738   23.3580   17.5430   12.9653
19790104    14.5198  -10.7020    1.7003   -2.2990   -1.6312  -12.4318  -13.2811  -13.6119    8.8398    3.6729    1.0692  -19.7932  -13.3932   -6.9510    0.0687    0.3387    1.0180   21.6775   13.8877    7.0328
19790105    22.5480  -13.1953    2.6494   -1.5965   -1.0981  -11.2607   -9.2497  -13.1534    8.7250    2.8934   -0.6833  -13.2606   -8.1817   -3.2081    0.1140    0.5138    0.9824   15.8736    8.6782    3.2801
19790106    30.4381  -12.7491    3.4074   -0.7512   -0.3793  -11.2720   -9.4342   -8.4889   11.4786    3.7239   -0.9245  -10.5914   -4.6468   -1.3443    0.2806    0.6085    1.1260   15.6184    5.9549    1.6316
19790107    34.3773  -10.5879    4.9463    0.0996    0.1937   -3.8070   -4.1644   -3.1866    7.0295    5.9914    6.5753  -14.6632   -5.4473    0.9688    0.5535    1.4135    1.3291   16.2611    8.0975    6.6463
19790108    25.6505   -4.0490    5.0394   -0.0450   -0.1885   -2.9298   -0.0987    0.6267   18.8935   14.4611   11.5098   -0.2781    0.2527    0.2905    0.7405    2.2914    2.5721   18.8955   14.4633   11.5134
19790109    13.6947   -0.7362    3.8335   -1.1189   -1.1300   -3.4655   -2.6173   -1.2846   17.0082   11.3699    7.6498    8.0570    4.5147    3.0818    0.8779    2.7219    3.2863   18.8201   12.2334    8.2472
19790110     4.6818   -0.6616    2.0812   -2.2505   -1.9658   -9.3555   -8.4237   -5.2910   14.9503   11.0176    7.9634    8.5914    2.8230    3.4313    0.3594    0.7787    2.0133   17.2430   11.3735    8.6712
